service
AWS CloudShell
SFTP and SCP Gateway to Amazon S3
Fortinet Managed Rules for AWS WAF - SQLi/XSS
FusionAuth
Amazon CloudSearch
AWS Support (Business)
WordPress with LiteSpeed Cache (Powered OpenLiteSpeed)
OpenVPN Access Server (50 Connected Devices)
Redis Enterprise Cloud - Annual Commits
Amazon Textract
ThreatSTOP Managed Rules - New and Active Malicious Bots for AWS WAF
OpenVPN Access Server (25 Connected Devices)
Amazon Chime Dialin
Docker on Ubuntu 20
AWS Certificate Manager
Lacework Polygraph® Data Platform for AWS (Limited)
Amazon S3 Glacier Deep Archive
AWS WAF
AWS Greengrass
Amazon Machine Learning
Savings Plans for AWS Compute usage
CIS Amazon Linux 2 Benchmark - Level 2
Ubuntu Pro 20.04 LTS
Microsoft Windows 10 Pro Desktop for Intel CPU & Critical Updates
Drata Security & Compliance Automation Platform
AWS Cloud WAN
AWS IoT 1 Click
AWS Security Hub
Neo4j with Web-UI and Scripts by Intuz Inc.
SFTP Gateway
AWS Migration Hub Refactor Spaces
Honeycomb Enterprise
Amazon AppFlow
AWS IoT SiteWise
SFTPGo - MySQL Edition (ARM64)
Amazon Pinpoint
Amazon Registrar
Datadog Pro
Amazon Fraud Detector
HashiCorp Vault OSS
Amazon Honeycode
Amazon Translate
Veeam Backup for AWS Paid Edition
OpenLDAP Directory Server provided by JumpBox
Fortinet Managed Rules for AWS WAF Classic - Complete OWASP Top 10
AWS IoT Device Management
AWS Support (Enterprise)
Cyber Security Cloud Managed Rules for AWS WAF -HighSecurity OWASP Set-
Amazon FSx
AWS Lambda
KNIME Server Small for AWS
Amazon Chime Business Calling a service sold by AMCS LLC
Zammad Community 5.0
CIS Ubuntu Linux 16.04 LTS Benchmark - Level 1
JFrog Artifactory Cloud - Artifact Repository to Accelerate Your DevOps
Amazon ElastiCache
CIS Microsoft Windows Server 2019 Benchmark - Level 2
Elastic Cloud (Elasticsearch Service)
Amazon WorkSpaces Web
MongoDB Atlas on AWS - Contract with Usage
Ant Media Server Enterprise - Ultra-Low Latency WebRTC Live Streaming
Amazon Athena
Amazon Simple Email Service
"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 200Mbps)"
F5 Rules for AWS WAF - Bot Protection Rules
Amazon Simple Workflow Service
Fortinet Managed Rules for AWS WAF - Complete OWASP Top 10
Jenkins on Windows Server 2019
AWS Config
Amazon Elastic Transcoder
Amazon CodeWhisperer
Netskope - Public Cloud Security
VM-Series Virtual NextGen Firewall w/ 5 Core Security Subs - Bundle2 AWS
CLOUDBASIX for RDS SQL Server Read Replicas and Disaster Recovery (DR)
F5 Rules for AWS WAF - Common Vulnerabilities & Exposures (CVE) Rules
MongoDB on Windows 2016
Amazon Managed Workflows for Apache Airflow
Real Time Continuous Optimization
Apache Web Server with Ubuntu 20.04 LTS
Algolia Search and Discovery
CloudBeaver AWS
CIS Red Hat Enterprise Linux 7 Benchmark - Level 1
SoftNAS Cloud Standard - High-Performance Cloud NAS (HVM/SRV-IO/20TB)
Ubuntu Pro 14.04 LTS
SFTPGo - SQLite Edition
AWS Backup
Amazon Elastic MapReduce
Jaspersoft Reporting and Analytics for AWS (Hourly)
Amazon DevOps Guru
Cisco Cloud Services Router (CSR) 1000V - Security Pkg. Max Performance
Genymotion Cloud : Android 8.0 (oreo) - ARM version
Amazon Lightsail
InfluxDB Cloud
Ubuntu 16 (Ubuntu 16.04 LTS) with Support by Supported Images
AWS Cost Explorer
Amazon WorkDocs
AWS Data Exchange
ADFS Server Windows 2019
Amazon Elastic Compute Cloud
CircleCI - Cloud-Hosted CI/CD
Amazon Glacier
Amazon Security Lake
Docker Engine - Enterprise for Windows Server 2019
CloudFront Security Bundle
CIS Ubuntu Linux 18.04 LTS Benchmark - Level 1
Amazon Managed Blockchain
AWS CodePipeline
Ubuntu Desktop 20.04 LTS - GUI Gnome with VNC and RDP - Arm
Docker on Debian 10
Genymotion Cloud : Android 8.1 (oreo)
Amazon Elastic File System
Grafana with Prometheus by Classmethod
Amazon Chime
AWS Database Migration Service
AWS CodeDeploy
AWS Service Catalog
Ubuntu Desktop 20.04 LTS - GUI Gnome with VNC and RDP
AWS Audit Manager
PCI Compliant / Hardened Ubuntu 18.04
OpenVPN Access Server (5 Connected Devices)
AWS Shield
AWS CodeArtifact
MediaWiki - Wikipedia's Wiki Engine powered by TurnKey GNU/Linux (HVM)
FortiManager Centralized Security Management (Max 2 managed devices)
Alert Logic MDR (US)
Cyber Security Cloud Managed Rules for AWS WAF -API Gateway/Serverless-
CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1 (ARM)
AWS Lake Formation
AWS X-Ray
SQL Server 2008 R2 Standard edition on Windows Server 2008 R2
Labra Cloud Commerce Management Platform
AWS Amplify
AWS Device Farm
Datadog Pro (Pay-As-You-Go with 14-day Free Trial)
CloudEndure Disaster Recovery to AWS
Amazon DynamoDB
Amazon Kinesis
Trend Micro Deep Security
Wowza Streaming Engine (Linux PAID)
Zabbix server virtual appliance 5.0 Medium Performance
Datadog
Playwright on Demand (AWS Lambda)
Jit Security
MongoDB Atlas (Pay as You Go)
Nagios Core Monitoring Server on Ubuntu 18.04 LTS
Nexus Repository OSS on AWS
AWS Shield Advance
VNS3 Lite - Network Controller (Firewall/Router/VPN)
Firebolt
CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1
"F5 BIG-IP Virtual Edition - GOOD  (PAYG, 25Mbps)"
Amazon Mechanical Turk
Amazon OpenSearch Service
CIS Microsoft Windows Server 2019 Benchmark - Level 1
Matillion Data Productivity Cloud
"Strapi: Design APIs fast, manage content easily"
Zabbix Server 6.4
TIBCO Jaspersoft Reporting and Analytics for AWS
Spot.io Contract
ThreatSTOP Managed Rules - CoreThreats for AWS WAF
CloudWatch Events
Cisco Secure Firewall ASA Virtual - PAYG with 30-Day Free Trial
AWS Elemental MediaTailor
Zabbix Server 6.2
AWS IoT
AWS Network Firewall
PostgreSQL on Ubuntu 20.04
AWS Key Management Service
Netgate pfSense Plus Firewall/VPN/Router
Sophos UTM 9 (PAYG)
Ubuntu 20 (Ubuntu 20.04 LTS) with Support by Supported Images
Amazon SimpleDB
AWS Fault Injection Simulator
AmazonCloudWatch
AWS Elemental MediaStore
Apache Kafka® on Confluent Cloud™ - Pay As You Go
AWS Directory Service
Amazon Cognito Sync
Cyber Security Cloud Managed Rules for AWS WAF Classic -OWASP Set-
Amazon Transcribe
SingleStoreDB Cloud
Amazon WorkSpaces
Jenkins on Ubuntu 18.04
Amazon DocumentDB (with MongoDB compatibility)
AWS Compute Optimizer
AWS Support (Developer)
AWS Storage Gateway
Cloudinary Dynamic Media Platform and Digital Asset Management Solution
Amazon Cognito
AWS Elastic Disaster Recovery
Citrix ADC VPX Premium - 10 Mbps
CIS Hardened Amazon Linux 2
AWS Elemental MediaPackage
Cisco Cloud Services Router (CSR) 1000V - AX Pkg. Max Performance
Contact Lens for Amazon Connect
CodeGuru
Adobe ColdFusion (2021 Release) Ubuntu Linux
DRAGEN Complete Suite
Amazon GuardDuty
AWS Step Functions
Advanced Reserved Instances Automation
RDBTools - GUI for Redis
Imperva - Managed Rules for IP Reputation on AWS WAF
Amazon Kinesis Firehose
AWS Budgets
Amazon Interactive Video Service
Amazon Kinesis Video Streams
marbot - AWS Monitoring for Slack
Titan FTP Server - Enterprise Edition
OPNsense® Firewall/Router/VPN/IDPS
AWS IoT Events
Amazon Detective
F5 Rules for AWS WAF - Web exploits OWASP Rules
Ubuntu Pro FIPS 20.04 LTS
VPN solution built with OpenVPN® Community Edition - powered by TurnKey
"Contact Center Telecommunications (service sold by AMCS, LLC) "
Centos 7.8 with 24x7 deployment support by SecureAnyCloud
DynamoDB Accelerator (DAX)
Apache Kafka® on Confluent Cloud™ - Annual Commits
AWS Well-Architected Framework Review
Amazon Simple Queue Service
Antivirus for Amazon S3 - PAYG with 30 DAY FREE TRIAL
Kanboard Project Management Software on Ubuntu Server 20.04
Amazon Relational Database Service
AWS Resilience Hub
CentOS 7.5 1804 with support by Tiov IT
Aviatrix Secure Networking Platform Metered - Copilot & 24x7 Support
Plesk Obsidian on Ubuntu - WordPress & Website Hosting Environment
GitLab Server CE Community Edition on Ubuntu Server 20.04
Amazon Kendra
AWS IoT Analytics
Amazon Chime Voice Connector a service sold by AMCS LLC
Amazon Inspector
Zabbix server virtual appliance 4.4 Medium Performance
AWS AppSync
Databricks Unified Analytics Platform - Annual Commitment v3
Amazon Managed Service for Prometheus
Amazon Route 53
AWS Snowball Extra Days
AWS Systems Manager
Spacelift Inc.
Amazon Location Service
HP Anyware for Windows Server 2019 (NVIDIA)
Amazon AppStream
Amazon Verified Permissions
Sophos UTM 9 Standalone or HA (PAYG)
Amazon Comprehend
AWS Panorama
Savings Plans for AWS Machine Learning
CodeCatalyst
Active Directory Domain Controller 2016
[Private Offer on AWS MP] MongoDB Atlas on AWS - Contract with Usage
AWS AppFabric
Aviatrix Secure Cloud Networking Platform 2208-Universal 24x7 Support
Snowflake Capacity
Adobe PDF Services API (U.S.)
NGINX Plus with NGINX App Protect Premium - Ubuntu 18.04
AWS Elemental MediaConvert
Amazon Macie
Amazon Elastic Container Service
AWS Billing Conductor
Amazon Elastic Container Service for Kubernetes
Amazon Redshift
Red Hat OpenShift Service on AWS
Magento 2.3.5p2 and 1.9 Migration : aMiSTACX G4 LAMP
Amazon Keyspaces (for Apache Cassandra)
Amazon Elastic Inference
AWS IoT Device Defender
Win Remote Desktop Services SAL
Amazon Kinesis Analytics
Reverse Proxy Server using NGINX on Ubuntu
Amazon Chime Features
Contact Center Telecommunications Korea
Amazon Rekognition
APN Annual Program Fee
Amazon MQ
CodeBuild
Amazon GameLift
Coralogix
Spot by NetApp Pay-As-You-Go
"Redash, secured and supported by Hossted"
